hohi_id,旅宿名稱,縣市鄉鎮,平日雙人房價,來源,查核日期,備註,google_maps
7490,發呆民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E7%99%BC%E5%91%86%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E8%A5%BF%E8%A1%9B%E9%87%8C24%E9%84%B0%E8%A5%BF%E8%A1%9B399%E8%99%9F
36722,寶寶民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E5%AF%B6%E5%AF%B6%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E8%A5%BF%E6%96%87%E9%87%8C11%E9%84%B0%E8%A5%BF%E6%96%87%E6%BE%B3757%E8%99%9F
39052,台北板橋馥華艾美酒店,新北市板橋區,,,,,https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E5%8C%97%E6%9D%BF%E6%A9%8B%E9%A6%A5%E8%8F%AF%E8%89%BE%E7%BE%8E%E9%85%92%E5%BA%97%20%E6%96%B0%E5%8C%97%E5%B8%82%E6%9D%BF%E6%A9%8B%E5%8D%80%E4%B8%AD%E5%B1%B1%E8%B7%AF1%E6%AE%B5220%E8%99%9F%E5%9C%B0%E4%B8%8B%E4%B8%80%E5%B1%A4%E5%8F%8A220%E8%99%9F%EF%BC%881%E8%87%B34%E5%B1%A4%E3%80%8118%E8%87%B331%E5%B1%A4%EF%BC%89
38628,海顏民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E9%A1%8F%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E5%85%89%E8%8F%AF%E9%87%8C3%E9%84%B0%E5%85%89%E8%8F%AF123%E4%B9%8B8%E8%99%9F
10871,兆舍行旅,高雄市前金區,,,,,https://www.google.com/maps/search/?api=1&query=%E5%85%86%E8%88%8D%E8%A1%8C%E6%97%85%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%89%8D%E9%87%91%E5%8D%80%E4%B8%83%E8%B3%A2%E4%BA%8C%E8%B7%AF378%E8%99%9F
14162,香緹時尚大飯店,嘉義市西區,,,,,https://www.google.com/maps/search/?api=1&query=%E9%A6%99%E7%B7%B9%E6%99%82%E5%B0%9A%E5%A4%A7%E9%A3%AF%E5%BA%97%20%E5%98%89%E7%BE%A9%E5%B8%82%E8%A5%BF%E5%8D%80%E5%85%AB%E5%BE%B7%E8%B7%AF2%E8%99%9F1-3%E6%A8%93%2C%E4%B8%AD%E8%88%88%E8%B7%AF300%E8%99%9F1-3%E6%A8%93
38126,木木杉民宿,南投縣埔里鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E6%9C%A8%E6%9C%A8%E6%9D%89%E6%B0%91%E5%AE%BF%20%E5%8D%97%E6%8A%95%E7%B8%A3%E5%9F%94%E9%87%8C%E9%8E%AE%E6%A1%83%E7%B1%B3%E9%87%8C7%E9%84%B0%E7%A8%AE%E7%93%9C%E8%B7%AF6%E8%99%9F
13624,山月景緻旅館,南投縣草屯鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%9C%88%E6%99%AF%E7%B7%BB%E6%97%85%E9%A4%A8%20%E5%8D%97%E6%8A%95%E7%B8%A3%E8%8D%89%E5%B1%AF%E9%8E%AE%E4%B8%AD%E6%AD%A3%E8%B7%AF1155%E8%99%9F
35934,粨倉文旅,雲林縣西螺鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E7%B2%A8%E5%80%89%E6%96%87%E6%97%85%20%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%A5%BF%E8%9E%BA%E9%8E%AE%E5%BB%B6%E5%B9%B3%E8%B7%AF89%E8%99%9F
35280,裏島,臺南市中西區,,,,,https://www.google.com/maps/search/?api=1&query=%E8%A3%8F%E5%B3%B6%20%E8%87%BA%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E5%A4%A7%E5%90%8C%E8%B7%AF%E4%B8%80%E6%AE%B546%E5%B7%B724%E8%99%9F
30192,可吉家,臺南市中西區,,,,,https://www.google.com/maps/search/?api=1&query=%E5%8F%AF%E5%90%89%E5%AE%B6%20%E8%87%BA%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E9%9D%92%E5%B9%B4%E8%B7%AF137%E5%B7%B755%E8%99%9F
33687,森林寓民宿,嘉義縣民雄鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E6%A3%AE%E6%9E%97%E5%AF%93%E6%B0%91%E5%AE%BF%20%E5%98%89%E7%BE%A9%E7%B8%A3%E6%B0%91%E9%9B%84%E9%84%89%E4%B8%89%E8%88%88%E6%9D%918%E9%84%B0%E5%8D%97%E8%8F%AF%E8%B7%AF%E4%BA%8C%E6%AE%B578%E8%99%9F
31778,小管家管家民宿,澎湖縣湖西鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E7%AE%A1%E5%AE%B6%E7%AE%A1%E5%AE%B6%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E6%B9%96%E8%A5%BF%E9%84%89%E5%9F%8E%E5%8C%97%E6%9D%919%E9%84%B0%E5%A4%A7%E5%9F%8E%E5%8C%97263%E4%B9%8B12%E8%99%9F
5912,楓采行館,臺中市豐原區,,,,,https://www.google.com/maps/search/?api=1&query=%E6%A5%93%E9%87%87%E8%A1%8C%E9%A4%A8%20%E8%87%BA%E4%B8%AD%E5%B8%82%E8%B1%90%E5%8E%9F%E5%8D%80%E6%B0%B8%E5%BA%B7%E8%B7%AF211%E5%B7%B725%E5%BC%8476%E8%99%9F
2782,苓旅站前,臺北市中正區,,,,,https://www.google.com/maps/search/?api=1&query=%E8%8B%93%E6%97%85%E7%AB%99%E5%89%8D%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E5%BF%A0%E5%AD%9D%E8%A5%BF%E8%B7%AF%E4%B8%80%E6%AE%B572%E8%99%9F4%E6%A8%93
15948,瑾旅南西,臺北市大同區,,,,,https://www.google.com/maps/search/?api=1&query=%E7%91%BE%E6%97%85%E5%8D%97%E8%A5%BF%20%E8%87%BA%E5%8C%97%E5%B8%82%E5%A4%A7%E5%90%8C%E5%8D%80%E5%8D%97%E4%BA%AC%E8%A5%BF%E8%B7%AF151%E8%99%9F6%E8%87%B312%E6%A8%93
9374,星宿渡假別墅,宜蘭縣三星鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E6%98%9F%E5%AE%BF%E6%B8%A1%E5%81%87%E5%88%A5%E5%A2%85%20%E5%AE%9C%E8%98%AD%E7%B8%A3%E4%B8%89%E6%98%9F%E9%84%89%E5%A4%A9%E7%A6%8F%E6%9D%91%E6%9D%B1%E8%88%88%E8%B7%AF13%E4%B9%8B5%E8%99%9F
35191,煦樂軒古厝民宿,金門縣金沙鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E7%85%A6%E6%A8%82%E8%BB%92%E5%8F%A4%E5%8E%9D%E6%B0%91%E5%AE%BF%20%E9%87%91%E9%96%80%E7%B8%A3%E9%87%91%E6%B2%99%E9%8E%AE%E7%94%B0%E5%A2%A911%E8%99%9F
16465,晴旅府中館,新北市板橋區,,,,,https://www.google.com/maps/search/?api=1&query=%E6%99%B4%E6%97%85%E5%BA%9C%E4%B8%AD%E9%A4%A8%20%E6%96%B0%E5%8C%97%E5%B8%82%E6%9D%BF%E6%A9%8B%E5%8D%80%E5%8D%97%E9%9B%85%E5%8D%97%E8%B7%AF%E4%B8%80%E6%AE%B58%E8%99%9F5%E6%A8%93%E3%80%815%E6%A8%93%E4%B9%8B1%E8%87%B35%E6%A8%93%E4%B9%8B24
12042,探索汽車旅館南港館,臺北市南港區,,,,,https://www.google.com/maps/search/?api=1&query=%E6%8E%A2%E7%B4%A2%E6%B1%BD%E8%BB%8A%E6%97%85%E9%A4%A8%E5%8D%97%E6%B8%AF%E9%A4%A8%20%E8%87%BA%E5%8C%97%E5%B8%82%E5%8D%97%E6%B8%AF%E5%8D%80%E9%87%8D%E9%99%BD%E8%B7%AF66%E8%99%9F1%E8%87%B34%E6%A8%93
20706,苓旅旅館中山館,臺北市中山區,,,,,https://www.google.com/maps/search/?api=1&query=%E8%8B%93%E6%97%85%E6%97%85%E9%A4%A8%E4%B8%AD%E5%B1%B1%E9%A4%A8%20%E8%87%BA%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E5%BB%BA%E5%9C%8B%E5%8C%97%E8%B7%AF2%E6%AE%B591%E8%99%9F1%E6%A8%93%2C93%E8%99%9F1%E8%87%B37%E6%A8%93%2C2%E6%A8%93-1%E8%87%B37%E6%A8%93-1%2C95%E5%B7%B72%E8%99%9F1%E6%A8%93%2C4%E8%99%9F1%E6%A8%93
29977,歐特旅館,金門縣金湖鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E6%AD%90%E7%89%B9%E6%97%85%E9%A4%A8%20%E9%87%91%E9%96%80%E7%B8%A3%E9%87%91%E6%B9%96%E9%8E%AE%E6%96%B0%E6%B9%96%E9%87%8C%E5%B8%82%E6%B8%AF%E8%B7%AF220%E8%99%9F
22078,綠堡休閒民宿,南投縣埔里鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E7%B6%A0%E5%A0%A1%E4%BC%91%E9%96%92%E6%B0%91%E5%AE%BF%20%E5%8D%97%E6%8A%95%E7%B8%A3%E5%9F%94%E9%87%8C%E9%8E%AE%E5%A4%A7%E5%9F%8E%E9%87%8C42%E9%84%B0%E6%B0%B4%E8%A3%A1%E5%B7%B728%E8%99%9F
15771,苓旅松山小巨蛋館,臺北市松山區,,,,,https://www.google.com/maps/search/?api=1&query=%E8%8B%93%E6%97%85%E6%9D%BE%E5%B1%B1%E5%B0%8F%E5%B7%A8%E8%9B%8B%E9%A4%A8%20%E8%87%BA%E5%8C%97%E5%B8%82%E6%9D%BE%E5%B1%B1%E5%8D%80%E5%85%AB%E5%BE%B7%E8%B7%AF%E4%B8%89%E6%AE%B52%E8%99%9F14%E6%A8%93
8432,冬之戀行館,宜蘭縣羅東鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E5%86%AC%E4%B9%8B%E6%88%80%E8%A1%8C%E9%A4%A8%20%E5%AE%9C%E8%98%AD%E7%B8%A3%E7%BE%85%E6%9D%B1%E9%8E%AE%E6%96%B0%E7%BE%A4%E9%87%8C%E6%96%B0%E7%BE%A4%E4%BA%94%E8%B7%AF213%E8%99%9F
34406,東北季豐民宿,澎湖縣湖西鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E5%8C%97%E5%AD%A3%E8%B1%90%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E6%B9%96%E8%A5%BF%E9%84%89%E9%9A%98%E9%96%80%E6%9D%9195%E4%B9%8B1%E8%99%9F2%E6%A8%93
4751,南元休閒農場湖上渡假村,臺南市柳營區,,,,,https://www.google.com/maps/search/?api=1&query=%E5%8D%97%E5%85%83%E4%BC%91%E9%96%92%E8%BE%B2%E5%A0%B4%E6%B9%96%E4%B8%8A%E6%B8%A1%E5%81%87%E6%9D%91%20%E8%87%BA%E5%8D%97%E5%B8%82%E6%9F%B3%E7%87%9F%E5%8D%80%E6%9E%9C%E6%AF%85%E9%87%8C%E5%8D%97%E6%B9%9625%E8%99%9F
34641,海寓所民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E6%B5%B7%E5%AF%93%E6%89%80%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E9%8E%96%E6%B8%AF%E9%87%8C%E9%8E%96%E6%B8%AF%E5%85%AD%E8%B7%AF195%E8%99%9F
32517,苓旅旅館萬年館,臺北市萬華區,,,,,https://www.google.com/maps/search/?api=1&query=%E8%8B%93%E6%97%85%E6%97%85%E9%A4%A8%E8%90%AC%E5%B9%B4%E9%A4%A8%20%E8%87%BA%E5%8C%97%E5%B8%82%E8%90%AC%E8%8F%AF%E5%8D%80%E8%A5%BF%E5%AF%A7%E5%8D%97%E8%B7%AF70%E8%99%9F7%E6%A8%93
